Characteristic,Total,None,1st-4th grade,5th-6th grade,7th-8th grade,9th grade,10th grade,11th grade,High School Graduate,"Some College, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
"	 18 years and over","130,548",400,630,"1,442","1,607","1,505","1,624","4,556","34,753","22,316","5,560","8,619","29,971","13,942","1,477","2,144"
"		  18 to 24 years","14,295",33,9,33,79,124,228,"1,489","4,061","5,160",314,675,"1,938",149,2,3
"	 25 years and over","116,253",368,622,"1,410","1,528","1,381","1,396","3,067","30,693","17,156","5,246","7,945","28,033","13,793","1,475","2,141"
"		  25 to 29 years","11,108",4,5,34,76,81,67,276,"2,585","1,849",481,788,"3,561","1,078",101,121
"		  30 to 34 years","11,339",24,17,70,64,134,104,257,"2,411","1,626",491,741,"3,423","1,557",171,249
"		  35 to 39 years","10,865",24,40,120,134,136,140,259,"2,127","1,506",417,790,"3,081","1,656",179,256
"		  40 to 44 years","10,325",14,48,154,163,126,141,256,"2,166","1,394",463,719,"2,651","1,592",210,228
"		  45 to 49 years","9,884",27,41,126,128,116,99,200,"2,162","1,338",512,711,"2,591","1,397",179,257
"		  50 to 54 years","10,371",40,43,116,107,152,86,246,"2,560","1,516",454,735,"2,567","1,380",134,236
"		  55 to 59 years","10,754",34,78,144,137,140,131,285,"3,054","1,486",570,805,"2,514","1,112",107,158
"		  60 to 64 years","10,990",45,62,176,138,104,130,301,"3,276","1,659",534,826,"2,385","1,050",109,197
"		  65 to 69 years","9,599",30,57,116,116,102,97,264,"2,941","1,569",467,707,"1,874","1,011",101,149
"		  70 to 74 years","8,098",43,67,119,133,93,137,210,"2,523","1,333",386,517,"1,419",906,81,131
"	 75 years and over","12,920",83,163,235,333,198,263,513,"4,889","1,879",473,607,"1,967","1,054",103,161
